Acc.No,Acc.Date,Title,Author,Publisher,Callno,price
19521,08-01-2013,ENGINEERING BY DESIGN,GERARD VOLAND,PEARSON,620.004 2  VOL/ENG,499
19522,08-01-2013,MATERIALS FOR ENGINEERS AND TECHNICIANS,RAYMOND A HIGGINS,NEWNES,620.11  HIG/MAT,795
19523,08-01-2013,STATISTICAL QUALITY CONTROL,EUGENE L GRANT,TMH,658.562  GRA/STA 3,475
19524,08-01-2013,AUTOMOTIVE ENGINES: THEORY AND SERVICING,JAMES D HALDERMAN,PEARSON,629.2  HAL/AUT,715
19525,08-01-2013,FUNDAMENTALS OF HEAT AND MASS TRANSFER,M THIRUMALESHWAR,PEARSON EDUCATION,621.402 2  THI/FUN,495
19526,08-01-2013,MACHINE DRAWING WITH AUTOCAD,GOUTAM POHIT,PEARSON,604.2  POH/MAC,435
19527,08-01-2013,MECHATRONICS :,WILLIAM BOLTON,PEARSON,621  BOL/MEC 8,525
19528,08-01-2013,FUNDAMENTALS OF FINANCIAL MANAGEMENT,EUGENE F BRIGHAM ,THOMSON,658.152  BRI/FUN,550
19529,08-01-2013,TOTAL QUALITY MANAGEMENT: A SYSTEM TO IMPLEMENT: IMPLEMENTING CONTINUOUS IMPROVEMENT,GANA KIRITHARAN,UBSPD,658.562  KIR/TOT,250
19530,08-01-2013,NON- CONVENTIONAL ENERGY RESOURCES(ALTERNATIVE ENERGY SOURCE,RK SINGAL,SKKATARIA,333.79  SIN/NON 2,165
19531,08-01-2013,CAD/CAM: CONCEPTS AND APPLICATIONS,CHENNAKESAVA R ALAVALA,PHI,670.2  ALA/CAD,325
19532,08-01-2013,DESIGN AND ANALYSIS OF CONTROL SYSTEMS,ARTHUR GO MUTAMBARA,CRC,629.8  MUT/DES 1,895
19533,08-01-2013,MECHANICS OF MATERIALS,RC HIBBELER,PEARSON,620.112  HIB/MEC 4,615
19534,08-01-2013,MATERIAL SCIENCE AND METALLURGY,UC JINDAL,PEARSON,620.11  JIN/MAT,299
19535,08-01-2013,PRINCIPLES OF MANAGEMENT: TEXT AND CASES,DIPAK KUMAR BHATTACHARYYA,PEARSON,658  BHA/PRI,350
19536,08-01-2013,MAINTENANCE AND SPARE PARTS MANAGEMENT,P GOPALAKRISHNAN,PHI,658.2  GOP/MAI 3,195
19537,08-01-2013,LOGISTICS AND SUPPLY CHAIN MANAGEMENT- STRATEGIES FOR REDUCI,MARTIN CHRISTOPHER,PEARSON,658.521  CHR/LOG,495
19538,08-01-2013,INTRODUCTION TO SOLID MECHANICS,IRVING H SHAMES,PHI,620.105  SHA/INT 3,395
19539,08-01-2013,"PRODUCT DESIGN: CREATIVITY, CONCEPTS AND USABILITY",PRASHANT KUMAR,PHI,658.575 2  KUM/PRO,325
19540,08-01-2013,MANUFACTURING PROCESSES,JP KAUSHISH,PHI,670  KAU/MAN,450
19541,08-01-2013,LOGISTICS MANAGEMENT - THE SUPPLY CHAIN IMPERATIVE,VINOD V SOPLE,PEARSON,658.521  SOP/LOG,350
19542,08-01-2013,INTRODUCTION TO MANAGEMENT SCIENCE +CD,BERNARD W TAYLOR,PEARSON,658  TAY/INT,715
19543,08-01-2013,PRINCIPLES OF SOLID MECHANICS,ROWLAND RICHARDS,CRC,620.105  RIC/PRI,495
19544,08-01-2013,DESIGN OF MACHINE ELEMENTS,CS SHARMA,PHI,621.815  SHA/DES 6,350
19545,08-01-2013,RAPID PROTOTYPING AND ENGINEERING APPLICATIONS: A TOOLBOX FOR PROTOTYPE DEVELOPMENT,FRANK W LIOU,CRC,620.004 2  LIO/RAP,895
19546,08-01-2013,AUTOMOTIVE TECHNOLOGY: HEATING AND AIR CONDITIONING,RUSSELL CARRIGAN,CENGAGE LEARNING,697  CAR/AUT 1,495
19547,08-01-2013,PRODUCTION AND OPERATIONS MANAGEMENT,SN CHARY,TMH,658.5  CHA/PRO,550
19548,08-01-2013,TECHNOLOGY OF METAL FORMING PROCESSES,SURENDER KUMAR,PHI,671  KUM/TEC,295
19549,08-01-2013,"THE SIX SIGMA HANDBOOK: A COMPLETE GUIDE FOR GREEN BELTS, BLACK BELTS, AND MANAGERS AT ALL LEVELS",THOMAS PYZDEK,TMH,658.562  PYZ/SIX,795
19550,08-01-2013,MACHINE TOOL PRACTICES,RICHARD R KIBBE,PEARSON,670.423  KIB/MAC 1,695
19551,08-01-2013,OPERATIONS MANAGEMENT: A QUNTITATIVE APPROACH,PB MAHAPATRA,PHI,658.5  MAH/OPE,395
19552,08-01-2013,OPERATIONS RESEARCH,K RAJAGOPAL,PHI,510.72  RAJ/OPE,495
19553,08-01-2013,OPERATIONS RESEARCH WITH C PROGRAMS,S KALAVATHY,VIKAS,510.72  KAL/OPE,290
19554,08-01-2013,MECHANICAL VIBRATIONS,RAO V DUKKIPATI,NAROSA,620.3  DUK/MEC,470
19555,08-01-2013,NON - CONVENTIONAL ENERGY RESOURCES,GS SAWHNEY,PHI,333.79  SAW/NON,325
19556,08-01-2013,HOT METAL PRODUCTION BY SMELTING REDUCTION OF IRON OXIDE,AMIT CHATTERJEE,PHI,671.3  CHA/HOT,250
19557,08-01-2013,MECHANICAL BEHAVIOUR AND TESTING OF MATERIALS,AK BHARGAVA,PHI,620.163  BHA/MEC,395
19558,08-01-2013,THEORY OF MACHINES AND MECHANISMS,JOHN J UICKER,OXFORD UNIVERSITY,621.8  UIC/THE,450
19559,08-01-2013,FLUID MECHANICS,MERLE C POTTER,CENGAGE,620.106  POT/FLU 4,425
19560,08-01-2013,RESEARCH METHODS FOR BUSINESS STUDENTS,MARK SAUNDERS,PEARSON,650.072  SAU/RES,499
19561,06-11-2017,APPLIED THERMODYNAMICS FOR ENGINEERING TECHNOLOGISTS,TD EASTOP ,ELBS,621.402 1  EAS/APP 5,
19562,08-01-2013,PRINCIPLES OF MEASUREMENTS SYSTEMS,JOHN P BENTLEY,PEARSON,621.37  BEN/PRI 7,475
19563,08-01-2013,PRINCIPLES OF HEAT TRANSFER,FRANK KREITH,BROOKS/COLE,621.402 2  KRE/PRI 4,450
19564,08-01-2013,ENGINEERING FLUID MECHANICS AND HYDRAULIC MACHINES,KC PATRA,NAROSA,620.106  PAT/ENG,395
19565,08-01-2013,I C ENGINES: COMBUSTION AND EMISSIONS,BP PUNDIR,NAROSA,621.43  PUN/ICE,450
19566,08-01-2013,POWER PLANT ENGINEERING,SAMSHER GAUTAM,VIKAS,621.4  GAU/POW,250
19567,08-01-2013,CNC PROGRAMMING PRINCIPLES AND APPLICATIONS,MIKE MATTSON,CENGAGE LEARNING,621.902 3  MAT/CNC,380
19568,08-01-2013,MECHATRONICS SYSTEM DESIGN,DEVDAS SHETTY,PWS,621 SHE/MEC 3,399
19569,08-01-2013,CONTROL ENGINEERING : THEORY AND PRACTICE,MN BANDYOPADHYAY,PHI,629.8  BAN/CON 4,275
19570,08-01-2013,MILLER & FREUNDS PROBABILITY AND STATISTICS FOR ENGINEERS +C,RICHARD A JOHNSON,PHI,519.2  JOH/MIL 10,425
19571,08-01-2013,PROBABILITY AND STATISTICS FOR ENGINEERS,JAY L DEVORE,CENGAGE LEARNING,519.2  DEV/PRO,360
19572,08-01-2013,A TEXTBOOK OF AUTOMOBILE ENGINEERING: AUTO ENGINES VOLUME 1,PRITAMM SINGH GILL,SK KATARIA,629.2  GIL/TEX I,350
19573,08-01-2013,MANUFACTURING ORGANISATION AND MANAGEMENT,HAROLD T AMRINE,PEARSON,658.5  AMR/MAN 1,625
19574,08-01-2013,FUNDAMENTALS OF GAS DYNAMICS,ROBERT D ZUCKER,JOHN WILEY,620.107  ZUC/FUN,995
19575,08-01-2013,JIGS AND FIXTURES,PH JOSHI,TMH,621.992  JOS/JIG 2,365
19576,08-01-2013,"NEURAL NETWORKS, FUZZY LOGIC, AND GENETIC ALGORITHMS : SYNTHESIS AND APPLICATIONS +CD",S RAJASEKARAN,PHI,006.32  RAJ/NEU 5,325
19577,08-01-2013,ORGANIZATIONAL BEHAVIOUR,MIRZA S SAIYADAIN,TMH,658.4  SAI/ORG,350
19578,08-01-2013,THEORY OF VIBRATION WITH APPLICATIONS,WILLIAM T THOMSON,PEARSON EDUCATION,620.3  THO/THE 4,475
19579,08-01-2013,MACHINE DESIGN,UC JINDAL,PEARSON,621.815  JIN/MAC 3,580
19580,09-01-2013,PRINCIPLES OF MANAGEMENT,K ANBUVELAN,LAXMI,658  ANB/PRI 2,125
19581,09-01-2013,COMDEX HARDWARE AND NETWORKING COURSE KIT +CD,VIKAS GUPTA,DREAMTECH,004.64  GUP/COM 4,349
19582,09-01-2013,PRINCIPLES OF COMPUTER HARDWARE +CD,ALAN CLEMENTS,OXFORD,004.64  CLE/PRI,625
19583,09-01-2013,PATTERN RECOGNITION,SERGIOS THEODORIDIS,ELSEVIER,006.4  YHE/PAT,525
19584,09-01-2013,PRINCIPLES OF DISTRIBUTED DATABASE SYSTEMS,M TAMER OZSU,PEARSON EDUCATION,005.758  OZS/PRI 1,599
19585,09-01-2013,CCNA : CISCO CERTIFIED NETWORK ASSOCIATE STUDY GUIDE +CD,TODD LAMMLE,BPB,004.621  LAM/CCN 2,649
19586,09-01-2013,PRINCIPLES OF MULTIMEDIA DATABASE SYSTEMS,VS SUBRAHMANIAN,Harcourt India,006.7  SUB/PRI 2,350
19587,09-01-2013,PRINCIPLES OF COMPILER DESIGN,V RAGHAVAN,TMH,005.453  RAG/PRI 6,395
19588,09-01-2013,COMPUTER ARCHITECTURE: COMPLEXITY AND CORRECTNESS,SILVIA M MUELLER,SPRINGER,004.22  MUE/COM,695
19589,10-01-2013,MODERN OPERATING SYSTEMS,ANDREW S TANENBAUM,PHI,005.43  TAN/MOD 11,450
19590,10-01-2013,THE DESIGN AND IMPLEMENTATION OF MULTIMEDIA SOFTWARE WITH EXAMPLES IN JAVA,DAVID BERNSTEIN,JONES AND BARTLETT,006.7  BER/DES,3630.7
19591,10-01-2013,THE MULTIMEDIA HANDBOOK,TONY CAWKELL,BLUE PRINT BOOK,006.6  CAW/MUL,1295
19592,10-01-2013,AUTOMATA AND LANGUAGES: THEORY AND APPLICATIONS,ALEXANDER MEDUNA,SPRINGER,005.131  MED/AUT,695
19593,10-01-2013,SOFTWARE PROJECT MANAGEMENT,BOB HUGHES,TMH,658.404  HUG/SOF 2,485
19594,10-01-2013,SOFTWARE ARCHITECTURE: PERSPECTIVES ON AN EMERGING DISCIPLINE,MARY SHAW,PHI,005.1  SHA/SOF,225
19595,10-01-2013,PRINCIPLES OF COMPUTER GRAPHICS: THEORY AND PRACTICE USING OPENGL AND MAYA,SHALINI GOVIL PAI,SPRINGER,006.6  GOV/PRI,495
19596,10-01-2013,ARTIFICIAL INTELLIGENCE AND INTELLIGENT SYSTEMS,NP PADHY,OXFORD,006.3  PAD/ART 1,295
19597,10-01-2013,MICROSOFT ENCYCLOPAEDIA OF NETWORKING,MITCH TULLOCH,PHI,004.603  TUL/MIC 1,995
19598,10-01-2013,CCNA ICND2  +2 CDs,WENDELL ODOM,PEARSON,004.6  ODO/CCN,575
19599,10-01-2013,FUNDAMENTALS OF DATABASE MANAGEMENT SYSTEMS,MARK L GILLENSON,JOHN WILEY,005.74  GIL/FUN 1,599
19600,10-01-2013,CCNA SECURITY STUDY GUIDE,TIM BOYLES,JOHN WILEY,005.807 6  BOY/CCN,549
19601,10-01-2013,COMPTIA NETWORK+: DELUXE STUDY GUIDE +CD,TODD LAMMLE,JOHN WILEY,004.607 6  LAM/COM,499
19602,10-01-2013,TEST YOUR UNIX SKILLS,YASHAVANT P KANETKAR,BPB,005.432 U  KAN/TES,150
19603,10-01-2013,INTRODUCTION TO QUANTUM COMPUTING,PHILLIP KAYA,OXFORD,004.1  KAY/INT,365
19604,10-01-2013,RED HAT LINUX NETWORKING AND SYSTEM ADMINISTRATION +CD,TERRY COLLINGS ,WILEY,005.432 L  COL/RED1,579
19605,10-01-2013,DISTRIBUTED SYSTEMS ARCHITECTURE,ARNO PUDER,MORGAN KAUFMANN,004.22  PUD/DIS,295
19606,10-01-2013,DATA MINING METHODS,RAJAN CHATTAMVELLI,NAROSA,006.312  CHA/DAT,375
19607,10-01-2013,FUNDAMENTALS OF ANALOG CIRCUITS,THOMAS L FLOYD,PEARSON,621.392  FLO/FUN,665
19608,10-01-2013,FUNDAMENTALS OF ANALOG CIRCUITS,THOMAS L FLOYD,PEARSON,621.392  FLO/FUN 1,665
19609,10-01-2013,MODERN CONTROL SYSTEMS,RICHARD C DORF,ADDISON WESLEY,629.8  DOR/MOD 6,685
19610,10-01-2013,MODERN CONTROL SYSTEMS,RICHARD C DORF,ADDISON WESLEY,629.8  DOR/MOD 7,685
19611,10-01-2013,DIGITAL SIGNAL PROCESSOR: ARCHITECTURE PROGRAMMING AND APPLICATIONS,ANDHE PALLAVI,PEARSON,621.380 43  PAL/DIG,520
19612,10-01-2013,DIGITAL SIGNAL PROCESSOR: ARCHITECTURE PROGRAMMING AND APPLI,ANDHE PALLAVI,PEARSON,621.380 43  PAL/DIG 1,520
19613,10-01-2013,DIGITAL SIGNAL PROCESSOR: ARCHITECTURE PROGRAMMING AND APPLI,ANDHE PALLAVI,PEARSON,621.380 43  PAL/DIG 2,520
19614,10-01-2013,DIGITAL COMMUNICATIONS: A SIMPLIFIED APPROACH,KN HARI BHAT,PEARSON,621.38  BHA/DIG,445
19615,10-01-2013,DIGITAL SYSTEM DESIGN WITH SYSTEM VERILOG,MARK ZWOLINSKI,PEARSON,621.390 285  ZWO/DIG,550
19616,10-01-2013,DIGITAL SYSTEM DESIGN WITH SYSTEM VERILOG,MARK ZWOLINSKI,PEARSON,621.390 285  ZWO/DIG 1,550
19617,10-01-2013,"CMOS/BiCMOS ULSI: LOW VOLTAGE, LOW POWER",KIAT SENG YEO,PEARSON,621.395  YEO/CMO,765
19618,10-01-2013,THE FINITE ELEMENT METHOD WITH APPLICATIONS IN ENGINEERING +,YM DESAI,PEARSON,515.62  DES/FIN 1,385
19619,10-01-2013,EMBEDDED MICROCONTROLLERS AND PROCESSOR DESIGN,GREG OSBORN,PEARSON,004.16  OSB/EMB,425
19620,10-01-2013,THE AVR MICROCONTROLLER AND EMBEDDED SYSTEMS USING ASSEMBLY AND C,MUHAMMAD ALI MAZIDI,PEARSON,004.16  MAZ/AVR,590
19621,10-01-2013,ELECTRONIC COMMUNICATIONS SYSTEMS FUNDAMENTALS THROUGH ADVAN,WAYNE TOMASI,Pearson Edu Asia,621.382  TOM/ELE 21,750
19622,10-01-2013,"MICROCONTROLLERS : ARCHITECTURE,PROGRAMMING,INTERFACING AND",RAJ KAMAL,PEARSON,004.162  RAJ/MIC 2,455
19623,10-01-2013,BASIC ELECTRONICS,DEBASHIS DE,PEARSON,621.3  DED/BAS,425
19624,10-01-2013,ELECTRIC CIRCUITS AND NETWORKS,KS SURESH KUMAR,PEARSON,621.381 5  KUM/ELE,499
19625,10-01-2013,SIGNALS AND SYSTEMS: A PERSPECTIVE TOWARDS COMMUNICATION ENGINEERING,D GANESH RAO,PEARSON,621.380 431  RAO/SIGN,499
19626,10-01-2013,ELECTRONIC DEVICES AND CIRCUITS,BP SINGH,PEARSON,621.381 5  SIN/ELE,525
19627,10-01-2013,MANAGEMENT,STEPHEN P ROBBINS ,PEARSON,658  ROB/MAN 1,575
19628,10-01-2013,DESIGN WITH PIC MICROCONTROLLERS,JOHN B PEATMAN,PEARSON EDUCATION,004.162  PEA/DES 9,425
19629,10-01-2013,DESIGN WITH PIC MICROCONTROLLERS,JOHN B PEATMAN,PEARSON EDUCATION,004.162  PEA/DES 10,425
19630,10-01-2013,DESIGN WITH PIC MICROCONTROLLERS,JOHN B PEATMAN,PEARSON EDUCATION,004.162  PEA/DES 11,425
19631,10-01-2013,DIGITAL SIGNAL PROCESSING,S SALIVAHANAN ,TMH,621.380 43  SAL/DIG 22,425
19632,10-01-2013,DIGITAL SIGNAL PROCESSING,A NAGOOR KANI,TMH,621.380 43  KAN/DIG 10,375
19633,10-01-2013,DIGITAL SIGNAL PROCESSING : SIGNALS SYSTEMS AND FILTERS,ANDREAS ANTONIOU,TMH,621.380 43  ANT/DIG,565
19634,10-01-2013,KENNEDYS ELECTRONIC COMMUNICATION SYSTEMS,GEORGE KENNEDY,TMH,621.382  KEN/KEN,450
19635,10-01-2013,DIGITAL IMAGE PROCESSING +CD,S JAYARAMAN,TMH,006.69  JAY/DIG,565
19636,10-01-2013,MODERN CONTROL SYSTEMS,RICHARD C DORF,ADDISON WESLEY,629.8  DOR/MOD 8,685
19637,10-01-2013,MEMS AND MICROSYSTEMS: DESIGN AND MANUFACTURE,TAI-RAN HSU,TMH,621.381  HSU/MEM 1,495
19638,10-01-2013,DIGITAL PRINCIPLES AND DESIGN,DONALD D GIVONE,TMH,621.39  GIV/DIG 5,499
19639,10-01-2013,TELEVISION ENGINEERING AND VIDEO SYSTEMS,RG GUPTA,TMH,621.388  GUP/TEL,405
19640,10-01-2013,A TEXTBOOK OF MICROPROCESSORS AND MICROCONTROLLERS,R THEAGARAJAN,SCITECH,004.16  THE/TEX,400
19641,10-01-2013,FUNDAMENTALS OF DIGITAL CIRCUITS,A ANAND KUMAR,PHI,621.39  KUM/FUN 68,375
19642,10-01-2013,DESIGN AND ANALYSIS OF ELECTRONIC CIRCUITS,K GOPAKUMAR,PHASOR,621.381 5  GOP/DES 1,190
19643,10-01-2013,DIGITAL INTEGRATED CIRCUITS,THOMAS A DEMASSA,JOHN WILEY,621.392 1  DEM/DIG,409
19644,10-01-2013,DIGITAL LOGIC DESIGN,B HOLDSWORTH,NEWNES,621.392  HOL/DIG,625
19645,10-01-2013,DIGITAL AND ANALOG COMMUNICATION SYSTEMS,K SAM SHANMUGAM,JOHN WILEY,621.38  SHA/DIG 11,399
19646,10-01-2013,SIGNALS AND SYSTEMS,JB GURUNG,PHI,621.380 431  GUR/SIG 1,395
19647,10-01-2013,ARM SYSTEM DEVELOPERS GUIDE: DESIGNING AND OPTIMIZING SYSTEM SOFTWARE,ANDREW N SLOSS,ELSEVIER,005.1  SLO/ARM,525
19648,10-01-2013,VLSI FABRICATION PRINCIPLES : SILICON AND GALLIUM ARSENIDE,SORAB K GHANDHI,JOHN WILEY,621.392 2  GHA/VLS 5,479
19649,10-01-2013,SIGNALS AND SYSTEMS PRIMER WITH MATLAB,ALEXANDER D POULARIKAS,CRC,621.380 431  POU/SIG,6306.1
19650,10-01-2013,ANTENNA THEORY AND DESIGN,ROBERT S ELLIOTT,JOHN WILEY,621.384  ELL/ANT,599
19651,10-01-2013,FUNDAMENTALS OF MICROPROCESSORS AND MICROCOMPUTERS,B RAM,Dhanapat Rai,004.16  RAM/FUN 14,250
19652,10-01-2013,VLSI DESIGN: BLACK BOOK,KVKK PRASAD,DREAMTECH,621.392 2  PRA/VLS,499
19653,10-01-2013,VLSI DIGITAL SIGNAL PROCESSING SYSTEMS : DESIGN AND IMPLEMEN,KESHAB K PARHI,JOHN WILEY,621.380 43  PAR/VLS 4,599
19654,10-01-2013,WIRELESS NETWORKS,P NICOPOLITIDIS,JOHN WILEY,621.384  NIC/WIR,329
19655,10-01-2013,FIELDS AND WAVES IN COMMUNICATION ELECTRONICS,SIMON RAMO ,JOHN WILEY,530.141  RAM/FIE 5,449
19656,14-07-2016,ELECTRONIC DEVICES AND CIRCUIT THEORY +CD,ROBERT L BOYLESTAD ,PEARSON EDUCATION,621.381 5  BOY/ELE  33,
19657,10-01-2013,DIGITAL SIGNAL PROCESSING: SPECTRAL COMPUTATION AND FILTER DESIGN,CHI- TSONG CHEN,OXFORD,621.380 43  CHE/DIG,310
19658,10-01-2013,PRINCIPLES OF RADAR,JC TOOMY,PHI,621.384 8  TOO/PRI,250
19659,10-01-2013,FUNDAMENTALS OF SIGNALS AND SYSTEMS,MICHAEL J ROBERTS,TMH,621.380 431  ROB/FUN 4,395
19660,10-01-2013,"SIGNALS, SYSTEMS, AND TRANSFORMS",CHARLES L PHILLIPS,PEARSON EDUCATION,621.380 431  PHI/SIG 1,665
19661,10-01-2013,"SIGNALS, SYSTEMS, AND TRANSFORMS",CHARLES L PHILLIPS,PEARSON EDUCATION,621.380 431  PHI/SIG 2,665
19662,10-01-2013,SEMICONDUCTOR DEVICES PHYSICS AND TECHNOLOGY,SM SZE,JOHN WILEY& SONS,621.381 52  SZE/SEM 11,449
19663,10-01-2013,AN ILLUSTRATIVE APPROACH TO LOGIC DESIGN,RD SUDHAKER SAMUEL,PEARSON,621.395  SAM/ILL,365
19664,10-01-2013,SIGNALS AND SYSTEMS: A PERSPECTIVE TOWARDS COMMUNICATION ENG,D GANESH RAO,PEARSON,621.380 431  RAO/SIGN 1,499
19665,10-01-2013,INTEGRATED CIRCUITS,KR BOTKAR,Khanna pub,621.392 1  BOT/INT 38,315
19666,10-01-2013,THE DESIGN OF CMOS RADIO-FREQUENCY INTEGRATED CIRCUITS,THOMAS H LEE,CAMBRIDGE,621.397 32  LEE/DES,695
19667,10-01-2013,FUNDAMENTALS OF DIGITAL LOGIC WITH VERILOG DESIGN +CD,STEPHEN BROWN,TMH,621.395  BRO/FUN 12,600
19668,10-01-2013,DISCRETE SYSTEMS AND DIGITAL SIGNAL PROCESSING WITH MATLAB,TAAN S ELALI,CRC,621.380 43  ELA/DIS 3,645
19669,10-01-2013,ELEMENTS OF INFORMATION THEORY,THOMAS M COVER,JOHN WILEY,003.54  COV/ELE 3,5866.7
19670,10-01-2013,MICROWAVE ENGINEERING,ANNAPURNA DAS ,TMH,621.381 3  DAS/MIC 1,350
19671,10-01-2013,TRANSDUCERS AND INSTRUMENTATION,DVS MURTY,PHI,621.381 54  MUR/TRA 15,375
19672,10-01-2013,VLSI DESIGN,M MICHAEL VAI,CRC,621.392 2  VAI/VLS 1,450
19673,10-01-2013,FUNDAMENTALS OF INDUSTRIAL DRIVES,BN SARKAR,PHI,621.46  SAR/FUN,350
19674,10-01-2013,MICROCONTROLLERS: PRINCIPLES AND APPLICATIONS,AJIT PAL,PHI,004.162  PAL/MIC,350
19675,11-01-2013,PROBLEMS & SOLUTIONS OF CONTROL SYSTEMS WITH ESSENTIAL THEOR,AK JAIRATH,CBS,629.8  JAI/PRO 3,275
19676,11-01-2013,PROBLEMS & SOLUTIONS OF CONTROL SYSTEMS WITH ESSENTIAL THEOR,AK JAIRATH,CBS,629.8  JAI/PRO 4,275
19677,11-01-2013,PROBLEMS & SOLUTIONS OF CONTROL SYSTEMS WITH ESSENTIAL THEOR,AK JAIRATH,CBS,629.8  JAI/PRO 5,275
19678,11-01-2013,PROBLEMS & SOLUTIONS OF CONTROL SYSTEMS WITH ESSENTIAL THEOR,AK JAIRATH,CBS,629.8  JAI/PRO 6,275
19679,11-01-2013,PROBLEMS & SOLUTIONS OF CONTROL SYSTEMS WITH ESSENTIAL THEOR,AK JAIRATH,CBS,629.8  JAI/PRO 7,275
19680,11-01-2013,CIRCUITS-ENGINEERING CONCEPTS AND ANALYSIS OF LINEAR ELECTRI,A BRUCE CARLSON,BROOKS/COLE,621.381 5  CAR/CIR 3,450
19681,11-01-2013,CIRCUITS-ENGINEERING CONCEPTS AND ANALYSIS OF LINEAR ELECTRI,A BRUCE CARLSON,BROOKS/COLE,621.381 5  CAR/CIR 4,450
19682,11-01-2013,CIRCUITS-ENGINEERING CONCEPTS AND ANALYSIS OF LINEAR ELECTRI,A BRUCE CARLSON,BROOKS/COLE,621.381 5  CAR/CIR 5,450
19683,11-01-2013,CIRCUITS-ENGINEERING CONCEPTS AND ANALYSIS OF LINEAR ELECTRI,A BRUCE CARLSON,BROOKS/COLE,621.381 5  CAR/CIR 6,450
19684,11-01-2013,CIRCUITS-ENGINEERING CONCEPTS AND ANALYSIS OF LINEAR ELECTRI,A BRUCE CARLSON,BROOKS/COLE,621.381 5  CAR/CIR 7,450
19685,11-01-2013,"COMPUTER ORGANIZATION AND DESIGN: THE HARDWARE, SOFTWARE INTERFACE +CD",DAVID A PATTERSON,ELSEVIER,004.2  PAT/COM 13,495
19686,11-01-2013,"COMPUTER ORGANIZATION AND DESIGN: THE HARDWARE, SOFTWARE INT",DAVID A PATTERSON,MORGAN KAUFMANN,004.2  PAT/COM 14,495
19687,11-01-2013,"COMPUTER ORGANIZATION AND DESIGN: THE HARDWARE, SOFTWARE INT",DAVID A PATTERSON,MORGAN KAUFMANN,004.2  PAT/COM 15,495
19688,11-01-2013,"COMPUTER ORGANIZATION AND DESIGN: THE HARDWARE, SOFTWARE INT",DAVID A PATTERSON,MORGAN KAUFMANN,004.2  PAT/COM 16,495
19689,11-01-2013,"COMPUTER ORGANIZATION AND DESIGN: THE HARDWARE, SOFTWARE INT",DAVID A PATTERSON,MORGAN KAUFMANN,004.2  PAT/COM 17,495
19690,11-01-2013,"COMPUTER ORGANIZATION AND DESIGN: THE HARDWARE, SOFTWARE INT",DAVID A PATTERSON,MORGAN KAUFMANN,004.2  PAT/COM 18,495
19691,11-01-2013,"COMPUTER ORGANIZATION AND DESIGN: THE HARDWARE, SOFTWARE INT",DAVID A PATTERSON,MORGAN KAUFMANN,004.2  PAT/COM 19,495
19692,11-01-2013,"COMPUTER ORGANIZATION AND DESIGN: THE HARDWARE, SOFTWARE INT",DAVID A PATTERSON,MORGAN KAUFMANN,004.2  PAT/COM 20,495
19693,11-01-2013,"COMPUTER ORGANIZATION AND DESIGN: THE HARDWARE, SOFTWARE INT",DAVID A PATTERSON,MORGAN KAUFMANN,004.2  PAT/COM 21,495
19694,11-01-2013,"COMPUTER ORGANIZATION AND DESIGN: THE HARDWARE, SOFTWARE INT",DAVID A PATTERSON,MORGAN KAUFMANN,004.2  PAT/COM 22,495
19695,11-01-2013,MICROELECTRONIC CIRCUITS: THEORY AND APPLICATIONS +CD,ADEL S SEDRA,OXFORD,621.381 73  SED/MIC 12,635
19696,11-01-2013,MICROELECTRONIC CIRCUITS: THEORY AND APPLICATIONS +CD,ADEL S SEDRA,OXFORD,621.381 73  SED/MIC 13,635
19697,11-01-2013,MICROELECTRONIC CIRCUITS: THEORY AND APPLICATIONS +CD,ADEL S SEDRA,OXFORD,621.381 73  SED/MIC 14,635
19698,11-01-2013,MICROELECTRONIC CIRCUITS: THEORY AND APPLICATIONS +CD,ADEL S SEDRA,OXFORD,621.381 73  SED/MIC 15,635
19699,11-01-2013,MICROELECTRONIC CIRCUITS: THEORY AND APPLICATIONS +CD,ADEL S SEDRA,OXFORD,621.381 73  SED/MIC 16,635
19700,11-01-2013,MICROELECTRONIC CIRCUITS: THEORY AND APPLICATIONS +CD,ADEL S SEDRA,OXFORD,621.381 73  SED/MIC 17,635
19701,11-01-2013,MICROELECTRONIC CIRCUITS: THEORY AND APPLICATIONS +CD,ADEL S SEDRA,OXFORD,621.381 73  SED/MIC 18,635
19702,11-01-2013,MICROELECTRONIC CIRCUITS: THEORY AND APPLICATIONS +CD,ADEL S SEDRA,OXFORD,621.381 73  SED/MIC 19,635
19703,11-01-2013,MICROELECTRONIC CIRCUITS: THEORY AND APPLICATIONS +CD,ADEL S SEDRA,OXFORD,621.381 73  SED/MIC 20,635
19704,11-01-2013,MICROELECTRONIC CIRCUITS: THEORY AND APPLICATIONS +CD,ADEL S SEDRA,OXFORD,621.381 73  SED/MIC 21,635
19705,11-01-2013,PRINCIPLES OF SIGNAL PROCESSING AND LINEAR SYSTEMS,BP LATHI,OXFORD,621.382 2  LAT/PRI 4,550
19706,11-01-2013,PRINCIPLES OF SIGNAL PROCESSING AND LINEAR SYSTEMS,BP LATHI,OXFORD,621.382 2  LAT/PRI 5,550
19707,11-01-2013,PRINCIPLES OF SIGNAL PROCESSING AND LINEAR SYSTEMS,BP LATHI,OXFORD,621.382 2  LAT/PRI 6,550
